n,exp_n,loss
1,1,0.00125043
1,2,0.00125043
1,3,0.00125043
1,4,0.00125043
1,5,0.00125043
1,6,0.00125043
1,7,0.00125043
1,8,0.00125043
1,9,0.00125043
1,10,0.00125043
1,11,0.00125043
1,12,0.00125043
1,13,0.00125043
1,14,0.00125043
1,15,0.00125043
1,16,0.00125043
1,17,0.00125043
1,18,0.00125043
1,19,0.00125043
1,20,0.00125043
1,21,0.00125043
1,22,0.00125043
1,23,0.00125043
1,24,0.00125043
1,25,0.00125043
1,26,0.00125043
1,27,0.00125043
1,28,0.00125043
1,29,0.00125043
1,30,0.00125043
,,0.00125043
